,Title,new_genres,kw_Rake_p3,clean_Plot,full_model_9_beams,full_model_3_beams
8012,Of Human Bondage,drama,"paris, feelings, affair, repulsed, walks, syphilis, dies, arms","After two unsuccessful years pursuing an art career in Paris, clubfooted Philip Carey decides to study medicine. He meets and falls in love with Mildred Rogers, a low-class waitress who takes advantage of his feelings for her. When she leaves him to marry another man, Philip falls in love with Nora Nesbitt, a writer who encourages him to complete his studies. Mildred returns, pregnant and abandoned by her husband, and Philip takes her in and cares for her, ending his relationship with Nora. While staying with Philip, Mildred has an affair with his best friend Griffiths, and when Philip confronts her, she tells Philip she's repulsed by him and walks out. After earning his degree, Philip becomes an intern at a London hospital. He learns Mildred is working as a prostitute and seeks her out at the brothel where she's living with her ailing child. He takes the two under his wing, but once again Mildred leaves him. When he finally finds her in a clinic for the indigent, he discovers her child has died and Mildred, in the advanced stages of syphilis, dies in her spurned lover's arms.","The film is set in Paris in the late 19th century. It is based on a true story, told through the eyes of a young man who has feelings for a beautiful young woman. He is a man with a strong romantic interest in a woman who is having an affair, but is repulsed when she walks out on him. He falls ill and suffers from syphilis. He dies in his arms.","The film is set in Paris in the late 19th century. The film opens with a scene of a young woman, Antoinette, having feelings for a wealthy man. The woman is a beautiful young woman who has been having an affair with another man. She is repulsed and walks away from him. She falls in love with him, but he refuses to marry her. She leaves him, and he goes to live with her. The next day, she is visited by a doctor, who tells her that she is suffering from syphilis and dies in her arms."
8110,Breaking and Entering,"drama, romance, thriller","francis, london, writing, neighborhood, lives, re-evaluate","Will Francis. a young Englishman, is a landscape architect living a detached, routine-based life in London with his Swedish-American girlfriend Liv and her autistic daughter Bea. The 13-year-old girl's irregular sleeping and eating habits as well as her unsocial behaviour reach worrying proportions and start to put a lot of strain on Will and Liv's relationship. Complicating the situation further is his feeling of being shut out of their inner circle since Bea is not his biological daughter. He and Liv start relationship counseling, but their drifting apart continues. Simultaneously on the business front, Will's and his partner Sandy's state-of-the-art offices in the Kings Cross area are repeatedly burgled by a group of Slavic-language speaking thieves. The thieves employ a 15-year-old traceur named Miro whose acrobatic skills allow them to enter the building. Miro is actually a refugee from Bosnia living with his Muslim mother Amira who works as a seamstress while his Serbian father got murdered during the war. Though they're puzzled about the burglars' ability to disable the alarm, the two architects are not particularly worried after the first break-in, mostly writing it off to the neighborhood's dodgy reputation. However, after the second one they decide to stake out the building after hours hoping to find the culprit and alert the police. Being out of the house on nightly stakeouts actually suits Will just fine, allowing him to get away from the cold atmosphere of his household. He even strikes up a strange acquaintance with an Eastern European prostitute named Oana who hangs around the area every night. Spotting Miro attempting to break in one night, Will attempts to follow him. This pursuit leads Will to the flat where Miro lives with his mother Amira. Realizing their modest living means, he decides not to report his findings to the police, but goes back to Amira's apartment under the guise of having a suit that needs mending. He soon becomes emotionally entangled with her, causing him to re-evaluate his life. Conflict arises when the police close in on the burglars, and Will must make a crucial choice which will affect the lives of everyone around him.",Breaking and Enter tells the story of Francis. a young writer living in London. He works as a waitress at a nightclub where he meets and falls in love with a beautiful young woman who is writing a novel in her neighborhood. The two begin to re-evaluate their lives.,"The film is set in London, where Francis. a young writer, is writing a novel. He lives in a shabby flat in the suburbs of London. He is surrounded by a group of people who are all trying to make ends meet, including a woman who lives in the neighborhood. Francis is a successful writer, but he has a difficult relationship with his wife and children. He also has to re-evaluate his life and his relationships with others."
8113,Into the Night,"action, comedy, thriller","suggestion, diana, country, pursued, including, gun, head, motel","Upon discovering that his wife is having an affair, depressed insomniac Ed Okin drives to the airport on Herb's suggestion. where he is surprised by a beautiful jewel smuggler, Diana. who lands on his car and begs him to drive her away from four Iranians who are chasing her. She persuades him to drive her to various locations, and he becomes embroiled in her predicament. After becoming increasingly exasperated with her demands, he discovers that Diana has smuggled priceless emeralds from the Shah of Iran's treasury into the country, and is being pursued by various assorted assailants, including the aforementioned agents of a criminal Iranian ex-patriate and a British hitman. The couple's caper gets increasingly out of hand, until Diana is eventually taken hostage by the thugs at the airport here, Ed shares his ennui with the man holding a gun to Diana's head. The man shoots himself instead. Taken to a motel by federal agents, Diana showers and Ed finally sleeps.","The plot revolves around a gang of criminals who, at the suggestion of a local motel owner, kidnap a young woman. The gang's leader is Diane. a beautiful young woman who lives in the country and is being pursued by several criminals, including a drug lord. During the robbery, the gang steals a gun from a nearby motel and shoots it in the head. The criminals then head for the motel where they are kidnapped and tortured.","The film opens with a young woman, Diane. who is at the suggestion of a shady motel owner. Diane is a former gangster who is now working as a nightclub singer. She is being pursued by a group of criminals, including a drug lord. The gang members are attempting to rob a motel, but are unable to find her. The motel's owner is also trying to get Diane out of the motel. The film then cuts to a series of flashbacks, some of which are filmed in the night. The movie ends with Diane and her gang being chased into the night by the police, who are looking for the gang. They are chased by several of the robbers, and the police suspect that Diane is the real gang leader. The gun is on the head, and Diane escapes from the Motel."
8126,The Plank,comedy,"constructing, fraught, top, car, end, plank","Two builders buy a floorboard for a house they are constructing. They return to the house with the plank on top of a Morris Eight, but the journey is fraught with unexpected difficulties. The film is a series of plank jokes elaborating on the man with a plank slapstick routine seen in vaudeville and silent films, and adding new ones. For instance, at one point the plank is tied to the top of the car and projects backward into the open back of a large van. A man enters the back of the van and sits down. The van drives away, leaving him suspended in mid-air sitting on the end of the plank.","The Stooges are constructing a plank out of concrete. The construction of the plank is fraught with technical difficulties. One of the boys accidentally knocks on the top of a car. The resulting accident causes the stooges to lose control of the car. In the end, the boys are able to get the car back.","The Stooges are building a plank out of a concrete slab. The construction of the plank is fraught with technical difficulties. The boys get into a fight and end up on top of the car. In the end, the boys are able to climb out of the concrete slab and into the concrete floor."
8130,The Undying Monster,"drama, horror","crusades, investigate, finds, hair, identifies, wolf, analyzes, generations, werewolves, attempting, cure, disease","The Hammond family has been cursed since the Crusades, with family members dying or committing suicide under mysterious circumstances. When two people, including Oliver Hammond (John Howard are attacked by an unknown creature, Robert Curtis (James Ellison and his sidekick Christy are dispatched to investigate. Although the local townspeople are convinced that the attacks are the result of a curse upon the Hammond family, Curtis believes that he will be able to find a more scientific explanation for the attacks. Curtis' investigation at the Hammond household reveals a number of unusual circumstances, including slamming doors and clanking chains, a recently-entered secret room that had supposedly been locked for years, and a statue of a strange dog-like creature in the Hammond family crypt. During his investigation, one of the initial victims of the attack dies and the case is sent to an English jury for judgement. Upon hearing testimony from members of the Hammond family and their associates, the jury rules that the victim died at the hand of an unknown person or creature of unknown species. After the ruling, Curtis decides to look for evidence upon the body of the victim. He finds a hair that he later identifies as being from a wolf, but the hair disappears mysteriously soon after he analyzes it. The monster attacks again at the end of the movie, this time kidnapping Helga Hammond (Heather Angel. but Curtis and the police chase him down. When the monster is finally shot, it transforms into a human being and we discover that it is actually Oliver Hammond. Afterwards, Dr. Jeff Colbert. a friend of the Hammonds, reveals that they have been afflicted with lycanthropy for generations - that is, they are werewolves - and he had been attempting to cure them of the disease.","The story takes place during the Crusades in the early 20th century. During the crusade, a werewolf is killed by a wolf, and he is sent to a remote village to investigate. There, he meets a young woman who claims to have been bitten by the wolf. She tells him that she is the daughter of a tribe of werewolves. One day, she finds a dead wolf in her hair and identifies himself as a Wolf. She analyzes it. The film ends with a scene in which the werewolf attacks her and kills her. The next day, the werewolves attack the village, killing all of them. The werewolves are attempting to cure the disease.","The film is set in the Crusades in the early 20th century. The film opens with the crusading of the Nazis, and shows a group of German savage werewolves descending on the German countryside to investigate. The slain werewolves have a long history of mutating and killing people, and the Germans have long been known to have mutated into a wolf-like creature. The story is told through the eyes of a young German woman who finds a hair that identifies the wolf as a German wolf. The German woman, who has a history of being a werewolf, analyzes the German woman's life history. The werewolves are attempting to cure the disease."
8174,Bram Stoker's Dracula's Curse,horror,"characters, night, vampires, led, curse, consume","The film takes place in an unidentified city in the modern day, and follows the characters of Rufus King (Thomas Downey and Jacob Van Helsing. both of whom have been observing recent attacks made upon young teenagers in the city at night. Van Helsing correctly identifies that the attacks are being made by a group of vampires residing in the city. The vampires are led by a foreign seductress named Countess Bathorly. who hopes to use the humans to feed her growing vampire clan and to eventually seize control of the city, while at the same time using her growing power to gain the powers of the Master. Discovering Bathorly's plan, Van Helsing and King begin to hunt down and destroy the vampires one by one, until they finally face the Countess herself and try to kill her once and for all, before her evil consumes the city and allows Dracula's curse to consume the human race.",Bram Stoker's Dracula's Curse tells the story of a group of characters who go on a camping trip. One of them is a young girl who wakes up one night in a vampire-like state. The other characters are a sailor and a dancer. The vampires are led by Dr. Stoker. who has a curse on all of them that consumes them.,"Bram Stoker's Dracula's Curse tells the story of a group of characters. The film opens with a scene of slain vampires at night. The movie then cuts back to the events of the previous night, when the vampires were led by Dr. Martin Luther King. The characters include a young woman named Annabelle. a beautiful young woman who has a shattered heart and a man who is possessed by a curse that threatens to consume him."
8206,The Big Bluff,"crime, drama, thriller","lack, young, predicament, fritzi","Suave Don Juan Rick De Villa and his married lover Fritzi Darvel would like to take off together, but his lack of money prevents them from doing so. A chance encounter introduces Rick to the young, but terminally ill socialite Valerie Bancroft. in whom Rick sees the solution to his predicament. Rick sweeps her off her feet and they soon marry, although Valerie's entourage are suspicious of him. Rick then proceeds to try and bring about Valerie's demise so he can inherit her wealth and live the good life with Fritzi.","The Big Bluff tells the story of a young man who struggles to cope with a lack of self-esteem. He finds himself in a predicament where he is surrounded by a gang of robbers, all of whom he believes to be incompetent and ruthless, despite the fact that most of the gang members are very young. The film is based on a true story about a man who was convicted of murder and sentenced to death for a crime he did not commit. The story is told through a series of flashbacks, including a scene in which he was framed for the murder of his wife, Fritzi.","The film tells the story of a young man who struggles to cope with a lack of self-esteem. He is a solitary man who lives in a small town in the South of France with his wife and young son. His predicament is that he has to deal with his alcoholic father. The film is based on a true story, a story that is told through the eyes of Fritzi."
8223,Iron Man,drama,"hollywood, eventually, replacing, mason, neglect","After lightweight prizefighter Kid Mason loses his opening fight, golddigging wife Rose leaves him for Hollywood. Without her around, Mason trains seriously and starts winning. Naturally, Rose returns and worms her way back into his life, despite the misgivings of manager George Regan. Eventually, she cons Mason into dumping Regan and replacing him with her secret lover Lewis. even though he has almost no experience in the fight game. To make matters worse, Mason's high living and neglect of his training threatens his latest title defense.","The film is set in Hollywood during the early 1900s. Initially, the film was a comedy, but eventually it became a feature film. Eventually, it was remade as Iron Man, replacing it with a more modern version of Iron Man. As the film progresses, it becomes clear that Iron Man was the work of a mason and that he was not a victim of neglect.","The film is set in Hollywood during the early 1900s. Initially, the film is a comedy, but eventually, a melodrama. It is based on the true story of the Iron Man, which is the story of a young man who becomes a mason and becomes the mason of Hollywood. Eventually, he becomes an iron man, replacing the old mason with a younger man. The film focuses on the relationship between the two men and their neglect of one another."
8250,The Cool and the Crazy,drama,"transferred, marijuana, spiral, control, don, wise","The Cool and the Crazy tells the story of Ben Saul, a reform school graduate who is transferred to a Kansas City high school. There, Ben's clowning in class ticks off the local gang of tough guys, but he soon wins all of their admiration when he begins buying them beer, taking them to dances, giving them kicks, and then finally turning them on to marijuana. Ben is working as a frontman for a local marijuana ring, but the local police detective is hot on his trail. When a marijuna-crazed addict teenager whom Ben has sold the drug to, dies trying to hold up a filling station for drug money, the police question him and events begin to spiral out of Ben's control. In the dramatic finale, Ben ends up killing the pusher for more marijuana only to find that there is none, and gets his just deserts in a fiery car wreck. Then there is an obligatory moralizing segment, where a policeman screams at the surviving addicts, Is this what you call 'kicks'?! Sooner or later, if you don't wise up you're all gonna wind up like this, one way or the other.","The film tells the story of a young man who is transferred to a psychiatric hospital. While on a trip to the hospital, he falls in love with a woman who uses marijuana. The two begin to spiral out of control. The doctor tells them that if they don't use marijuana, they won't be wiser.","The film is about a young man who is transferred to a psychiatric hospital. He is diagnosed with a rare disease, which causes him to lose his ability to produce and use marijuana. He begins to spiral out of control. He becomes addicted to marijuana and begins to have nightmares about what he will do if he doesn't stop using it. He also begins to lose control of his life. He starts a relationship with his wife, who is in a serious relationship with another man, Don. Don't be wise."
8429,Tattoo,thriller,"models, maddy, mark, kinsky","Karl Kinsky is a mentally ill tattoo artist who is hired to create temporary tattoos for some models. He becomes obsessed with one of them, Maddy. and kidnaps her in order to force her to wear his mark. He keeps her captive as he creates his masterpiece on her body. Throughout the ensuing captivity, Maddy tries several times to escape, but her attempts are continually thwarted by Kinsky.","The film is based on the true story of a woman who models herself as a tattoo artist. The main character, Maddy. is a young woman whose tattoos have been stolen by a gang of model gangsters, led by Mark. The film's plot revolves around the relationship between Mark and Maddy, as well as between Maddy and Mark. As the story progresses, it becomes clear that Maddy is not the only one who has been kidnapped and killed by Kinsky.","The film follows a group of models, including a tattoo artist named Kinsky. who is in love with the model's daughter, Maddy. who wants to marry Mark. a young man with a dark past. The film also follows Kinsky's attempts to extort money from the model, who is framed for the murder of his wife."
8794,The Vigilante Fighting Hero of the West,"action, crime, western","country, pierce, horse, saunders, intention, passing, x-1","The Vigilante, a masked government agent, is assigned to investigate the case of the 100 Tears of Blood, a cursed string of rare blood red pearls sought by a gang led by the unknown X-1 that may have been smuggled into the country. Greg Sanders. in his civilian guise as an actor, is filming a western on George Pierce's ranch. Pierce is a wealthy rancher and nightclub owner. When the Prince Hamil arrives to the ranch, he gives a horse each to Saunders, Pierce, Captain Reilly, Tex Collier and Betty Winslow. But an outlaw gang soon attacks, attempting to steal all five horses. It turns out that each horse has twenty of the pearls hidden in their shoes in secret compartments. Edging closer, Sanders learns that a prince's servant stole the diamonds from his master and smuggled them in on the horses with the intention of passing them on to X-1.","Sam Saunders is a crooked outlaw who wants to take over the country. When he learns that he is the leader of a band of outlaws, he decides to pierce his way into the U.S. Cavalry. After a series of robberies, the crooks kidnap him and take him to the United States, where he and his gang rob a bank. The robbery goes wrong, and Sam is killed by a gunshot wound to his head. Sam is able to escape, but he escapes by riding a horse. Sam then tracks down Sam's horse and tells him he has no intention of passing on Sam. X-1 The Vigilante Fighting Hero of the West. title2008-10-08workNY Times","The film opens with a robbery of a bank in the middle of the country. The bank is robbed and a man is killed by a gunfighter who is about to pierce the banker's head. The gunfighted man is rescued by the Sheriff of the town of Saunders. The Sheriff's son, X-1, is also killed. X-2 is a veteran of the Civil War who has been a hero for many years. He has a reputation as a vigilante, but he does not know what to do with his son's life. He is able to get away with it, but the Sheriff has no intention of passing off a gold shipment to the U.S. Army."
8833,Colors,"action, crime, drama","lapd, teamed, end, film, police, gangs, bull, beginning, film, continuing","Bob Hodges is a 19-year veteran of LAPD's C.R.A.S.H. unit who has just been teamed with rookie Danny McGavin. The older cop is diplomatic on the surface, preaching rapport to gang members to encourage them to offer help when it is truly needed, and recognizes that every action cops take is scrutinized by the people they are trying to help. These lessons are lost on McGavin, and his actions bring him quick notoriety that affects Hodges. Amidst this, a murder of a Bloods gang member leads to a series of escalations between two other street gangs, a relentless intertwining of seemingly random incidents that culminates in a gang war that finds the two partners in the middle of the Crips, Bloods and Mexican gangs' attempts to right what they perceive as wrongs against their respective crews. Near the end of the film, the police have one final stand against the gangs. Hodges is shot and mortally wounded in the process. McGavin goes up to him and cries as he dies. Sometime later, McGavin has a new partner, a rookie black cop who grew up in the neighborhood where they patrol. McGavin tells him a story about a bull that Hodges told him at the beginning of the film. The film ends with McGavin and his new partner driving and continuing their patrol.","The film is based on a true story, the story of a young man, lapd. who is teamed up with a ruthless gangster known as The Bull. At the end of the film, he is surrounded by police and gangs. One of the gang members is a bull. The other gang member is an escaped convict. The film ends with the police shooting the bull at the beginning of the movie, continuing the film.","The film is based on a true story, set in Los Angeles, where gang leader, lapd. is teamed up with a local drug lord. The film begins with lapd attempting to kill a drug dealer. The gang's leader, a gangster named Bull. is killed at the end of the film by the police and gangs. The movie then cuts to a scene in which a bull is thrown from a building. The ending is a flashback to the beginning of the movie, continuing the film's violent ramblings."
8838,A Distant Trumpet,"drama, western","rescues, commander, reservation, arizona, decision, word","In 1883, US Cavalry lieutenant Matthew Hazard, newly graduated from West Point, is assigned to isolated Fort Delivery on the Mexican border of Arizona, where he meets commanding officer Teddy Mainwarring's wife Kitty, whom he later rescues from an Indian attack. Soon after a new commander, Major General Alexander Quait, takes charge. When his efforts to capture Chiricahua chief War Eagle fail, he orders Hazard into Mexico to cajole the man into surrendering. Hazard convinces War Eagle to return with him with the promise the Indians will be provided a safe haven at a reservation in Arizona. En route to the fort, they encounter Major Miller, who orders the Indians be sent to Florida. Hazard and Quaint journey to Washington, D.C. to request government officials to reverse their decision and allow Hazard to keep his word to War Eagle.","The film tells the story of a man who rescues a U.S. Cavalry battalion commander from a posse. The commander is a former Confederate officer who is now a United States Army lieutenant in Arizona. During a raid on a reservation, he is shot and killed by a Native American tribe. He is rescued by the tribe's chief of staff and is sentenced to death. His decision is his last word.","The film opens with a savage robbery of a wagon train and rescues it. The commander of the wagon train is killed. The film then moves to Arizona. It is a small reservation in Arizona. The leader of the gang tries to get the wagon back, but the henchman's decision is not a word."
8860,Crash Dive,"drama, romance, war","preying, cmdr, settle, affairs, taking, assignment, financially, view, tension, wooing, corsair","A US Navy submarine, the USS Corsair, is operating in the North Atlantic, hunting German merchant raiders that are preying on Allied shipping. Its new executive officer, Lt. Ward Stewart. has been transferred back into submarines after commanding his own PT boat. At the submarine base in New London, Connecticut, he asks his new captain, Lt. Cmdr. Dewey Connors. for a weekend leave to settle his affairs before taking up his new assignment. On a train bound for Washington D.C., Stewart accidentally encounters New London school teacher Jean Hewlett and her students. Despite her initial resistance to his efforts, he charms her and they fall in love. His infatuation with PT boats irritates Connors but the two become friends after a combat action with a Q ship in which Connors is injured and Stewart sinks it. Connors, unbeknownst to Stewart, is already in love with Jean but delays marrying her until he gains a promotion to commander and the commensurate pay it provided so he could properly support her financially in his view. Tension between the men ensues when Connors discovers that the woman Stewart is wooing is Jean. The film culminates in a commando raid by the Corsair on an island supply base for the German raiders.","The film is set during World War II, and tells the story of a young Navy pilot, Cmdr. J.B. Corsair, who is preying on a German bomber pilot. During the war, the pilot is killed in a bombing attempt, and he is taken to a sanatorium, where he meets and falls in love with the pilot's daughter. The two fall in love and settle into their affairs, taking an assignment to the U.S. Army Air Force. The assignment is financially and emotionally difficult for both of them. As the film progresses, there is a new view of the tension between the two pilots, and the corsair crew.","The film is set during World War II, and tells the story of a young Navy pilot, Cmdr. Lucero, who is preying on a German pilot. The pilot is a sailor who is forced to take a job as a bomber pilot in order to save the lives of his fellow pilots. He is accompanied by his fiancee, Phyllis. and their son, Claude. Claude is unable to settle his affairs by taking an assignment to a U.S. Army Air Force base in South Africa. During the course of the war, he is rescued by the Germans, who are preparing for a rescue mission. The crew of the rescue mission, led by Claude and Claude, are forced to flee to South Africa, where they are rescued and taken to the United States by a group of German soldiers. The mission is successful, but Claude's wife is killed in a crash. The story is told from the point of view of the tension between the two men, and the wooing of the corsair pilot."
8904,Blood in the Water,horror,"summer, attacked","Blood in the Water tells the story of a series of shark attacks, that occurred on the New Jersey shore during the summer of 1916. Five people were attacked over the course of 12 days. The Jersey Shore attacks triggered a nationwide panic.",The film takes place over the course of the summer. It follows a group of friends who are attacked by a mysterious mollusk.,The film takes place over the course of the summer. A group of friends are attacked by a mysterious mollusk.
9028,A Holiday Romance,"comedy, drama, romance","review, school, cal, unaware, changed, showing, feel, sub-plots","During the holiday season, Bethlehem School goes under review by a stern school administrator Cal Peterson. sent to eliminate programs to save money and the school itself. Following long review, Cal decides to eliminate the music program led by music teacher Lily Waite. Cal is unaware that his teenage niece Fern. whom he has been taking care of, has been changed by the music program. At the final concert, before Lily must leave her job, the music program is saved by generous donations, and Cal sees Fern perform. There are many sub-plots, including the hijinks of Jake Peterson. With a musical back ground, this film is unique in itself, it reaches out to the viewer not only through acting but through the joy of Christmas music, showing tradition in a new light, and showing that you are only as old as you feel.","The film is a review of A Holiday Romance. It is based on the true story of a high school student, Cal. who has just graduated from school. Cal is unaware that he has changed since high school. He decides to take a holiday with his family to celebrate his father's 100th birthday. However, he does not feel he is the right man for him. The sub-plots of the film revolve around Cal's relationship with his father, showing how much they feel about each other.","A Holiday Romance is a review of a high school drama class. It is based on a true story, about a young boy who has just graduated from school. Cal. a former football star, is now a football star. Cal is unaware that he has changed. He decides to take a holiday with his family, but he is unable to find a date with his best friend. Cal's best friend, a sailor, tries to get Cal to agree to a romantic relationship, but Cal is not willing to change his mind. The film is divided into three sub-plots, one showing how he doesn't feel like a real person."
9094,In Praise of Older Women,"drama, romance","occupying, age, romance, teenage","Andras Varda grows up in a turbulent, war-torn Hungary, where he procures local girls for the occupying G.I.s during World War II. Disappointed by the girls his age, he meets Maya. a married woman in her 30s, who tutors him in love and romance. Maya is only the first of many mature women whom Andras will meet through his teenage and young adult life.","In Praise of Older Women tells the story of a young woman, Nicolai, occupying a small apartment in a New York City boarding house. During the course of the film, she meets and falls in love with a man of her own age. The two begin a romance. Eventually, the two fall in love, but their relationship is thwarted by their teenaged love interest.","In Praise of Older Women tells the story of a young woman, Mary, occupying a small apartment in a New York City nightclub. She is in love with a man of her own age. Mary's father, a philandering businessman, is also a romantic interest in Mary. Mary is a single mother, and her husband, who is married to a teenage man, is an older man."
9098,The Next of Kin,war,"attack, shops, showing, defeat, importance, message","The British army is preparing an attack on a German-held French port. German intelligence use agents in England to discover the intended target by piecing together information from different sources, including conversations overheard in pubs, railway stations, shops and other public places. Originally, the commando raid depicted was intended to be a complete failure. However, the War Office were uncomfortable about showing such a defeat. In the final version, the raid is successful, albeit with heavy losses. Winston Churchill reportedly wanted the film banned as a threat to morale, but was eventually persuaded of the importance of its message.","The film tells the story of a group of British soldiers who are killed in an attack on a German village. The film opens with a scene in one of the shops. The next scene shows a small group of soldiers preparing for the attack. They are then escorted to a nearby village, where they are greeted by a young woman who is in her thirties. She is accompanied by two other soldiers, one of whom is in a wheelchair and the other is a sailor who works as a barmaid in the village. During the course of the film, the soldiers are shown demonstrating the importance of their message.","The film begins with the attack of a small village in the South of England. The village is surrounded by a large number of shops. The locals are not happy with the situation, as they have no money to pay for food or shelter, and are unable to afford to buy food in their own shops. Despite the efforts of the locals to prevent the attack, they are able to provide food and shelter for the village's residents, showing the importance of defeat. The film then moves on to show how important the message of peace is to the village people."
9168,National Lampoon's Van Wilder: Freshman Year,comedy,"graduated, dad, alcohol, sex, fun, dean, tasered, underwear","Van Wilder (Jonathan Bennett has graduated from high school. He is supposed to go on a trip to Amsterdam with his dad. but his dad is busy with work, so Van ends up going alone. Van ends up going to Coolidge, following family tradition. His family has their name on a building there, Wilder Hall. However, when he gets there, Coolidge is no longer the fun loving school of his dad's time, but a military-based institution run by Dean Reardon. Reardon, a military man who hates the senior Wilder, wants to make the younger Wilder's life miserable. He can not force him out because his dad is rich and has ties to the school, so he tries to make Van's life a living hell. Van turns a one bedroom dorm into a two bedroom. His roommate is Farley. a pothead from Jamaica. The boys decide to throw a party on campus, which is not allowed, along with kissing, drugs, alcohol, sex, or anything else that is 'fun'. The only person to show up to the party is Yu Dum Fok. The boys try to find the girls, but they just find some religious, prudish girls led by Eve. After she throws sacramental wine on them, Van pulls a prank on them during church. Reardon knows Van is behind the prank, so he commands his ROTC students, Dirk and his closeted sidekick Corporal Benedict. on Van, trying to make him crack. Van falls for Dirk's girlfriend, Kaitlin. causing Dirk to get even more upset. Kaitlin thinks, lives, and breathes the military, and believes in chastity before marriage. Of course, Van has to shake things up. After playing a military game with Reardon that results in him stepping down as dean and being tasered, Van and Kaitlin end up together and Van decides to finish college. The film ends as Van leaves Dirk and Benedict tied to each other in their underwear.","Dean Van Wilder is a high school senior who has just graduated from high school. He has a crush on Dean's dad. Dean wants to be a lawyer, but he's not sure what to make of him, so he decides to take a job as a janitor in order to earn enough money to pay off his dad's debts. He's also in need of money to buy a new car, and he wants to start a family. He also wants to have sex with his best friend Dean, who's having a lot of fun with him. Dean tries to convince Dean to do so, but Dean refuses. Dean is tasered by Dean in his underwear.","Dean Van Wilder has just graduated from high school. He is a freshman from a small town in New York City who has a crush on Dean's dad, a college professor. Dean has been having sex with a girl he met at a party, and he's been tasered by Dean for it. He's a snobbish teen who's also a big fan of alcohol, sleazy movies and a lot of fun. Dean and Dean go out to dinner, but Dean isn't sure what to do with Dean. Dean tries to get Dean out of the way, but he gets caught in the middle of a drunken brawl. Dean gets tangled up in a fight with Dean, and Dean is thrown out of his underwear."
9170,Swiss Family Robinson,"action, drama","family, australia, set, living, meant","In 1813 London, a Swiss father, William Robinson (Thomas Mitchell. wishes to escape the influence of the superficial profligacy of London on his family. His eldest son, Fritz. is obsessed with Napoleon, whom he considers his hero. His middle son, Jack. is a foolish dandy who cares only about fashion and money. And his dreamy son Ernest is preoccupied with reading and writing to the exclusion of all else. William Robinson sells his business and house, in order to move with his wife and four sons to Australia. They set out on a brig bound for the faraway country. Following a long voyage, the family is shipwrecked on a remote deserted island after the captain and crew are washed overboard during a storm. The family members collaborate to create a home for themselves in the alien jungle environment. They gradually learn to use the unfamiliar plants and animals to create what they need to live and thrive. They have many adventures and challenges and make many discoveries. The mother. however, misses her elegant home and community in England, and wishes to somehow be rescued and return. The father slowly convinces her that living in the natural environment is better for the family and that they are meant to be there.","Swiss Family Robinson tells the story of the Robinsons, a family of American expatriates living in Switzerland. The story is set in the early 20th century in Australia. The Robinsons are forced to make a living by living the way they were meant to.","Swiss Family Robinson follows the story of the Robinsons, a family of Australian expatriates living in Switzerland during World War II. The story is set in a post-World War II Australia. The Robinsons are forced to make a living by living the way they were meant to."
9177,A Soldier's Story,"crime, drama","men, jovial, plenty, suspects, investigate, soldiers, good, bonded, portrays, peterson","Conflicted, light-skinned Sergeant Waters ruthlessly heaps abuse upon his men. He calls them names, but he especially relishes torturing the jovial and highly talented C.J. Memphis (Larry Riley. Sergent Waters especially cannot stand the light-hearted behavior from the fellow black men in the platoon. When Waters is killed, there are plenty of suspects for Captain Davenport to investigate. Some soldiers also believe that Sergeant Waters was killed by the Ku Klux Klan. Art Evans plays Private Wilkie, a nervous man too acquiescent for his own good. David Alan Grier plays C.J.'s closest friend, bonded by their Mississippi roots. Denzel Washington, in one of his earliest motion picture roles, portrays the deeply embittered Pfc. Peterson.","A soldier's story tells the story of a gang of robbers who robbed and murdered a number of men. The jovial and enigmatic Peterson is a well-known veteran of the armed forces. He has a good reputation as a police officer, and a great deal of wit. There are plenty of suspects to investigate. One of the suspects is one of the police officers. The other suspects are two former soldiers. They are all good at what they do. Bonded, he portrays the character of Peterson.","A Soldier's Story tells the story of a young soldier who is killed by two men. He is a jovial, well-meaning man. He has a good relationship with his wife and children, and he is well-off in his profession. His wife is ill, but he has plenty of suspects to investigate. One of the suspects is one of his former soldiers. The other suspects are a police officer. The soldiers are good at what they do. Bonded with the character of Peterson."
9231,Project Grizzly,comedy,"meeting, sincerity, produced","The film documents Hurtubise's diligent work to improve his homemade grizzly-proof suit of armour, his efforts to test its resilience, and his forays into the Rockies to track down the grizzlies he dreams of meeting. The film manages to capture the humor of the project as well as its sincerity. It is directed by Peter Lynch and produced by Michael Allder.",Project Grizzly tells the story of a group of college students who meet at a meeting for a scavenger hunt. The film is a comedy of wit and sincerity. It was produced in the U.S. Army.,"Project Grizzly is a comedy about a group of college students who meet at a meeting. The film is based on the true story of a college student who, through a series of flashbacks, discovers that he has been manipulated into believing that a man can be manipulated with sincerity. It was produced by a sleazy producer."
